H, l64, l32, l16
   3.78 ,0.155375          ,0.1538125         ,0.101625
   3.79 ,0.15434375        ,0.152671875       ,0.0990625
   3.8  ,0.15325           ,0.1515625         ,0.09653125
   3.81 ,0.1521875         ,0.15040625        ,0.093875
   3.82 ,0.15115625        ,0.14928125        ,0.0911875
   3.83 ,0.150109375       ,0.1481875         ,0.0885
   3.84 ,0.1490625         ,0.1470625         ,0.0856875
   3.85 ,0.1480625         ,0.146             ,0.0828125
   3.86 ,0.147015625       ,0.144875          ,0.079875
   3.87 ,0.146             ,0.14375           ,0.0768125
   3.88 ,0.14496875        ,0.1426875         ,0.0736875
   3.89 ,0.14396875        ,0.14159375        ,0.070375
   3.9  ,0.14296875        ,0.1405            ,0.067
   3.91 ,0.142             ,0.13946875        ,0.0634375
   3.92 ,0.141015625       ,0.138375          ,0.0596875
   3.93 ,0.1400625         ,0.137328125       ,0.05575
   3.94 ,0.1390625         ,0.13625           ,0.0515
   3.95 ,0.13809375        ,0.13521875        ,0.0469375
   3.96 ,0.13715625        ,0.134125          ,0.0419375
   3.97 ,0.1361875         ,0.13309375        ,0.03625
   3.98 ,0.13525           ,0.1320625         ,0.0295625
   3.99 ,0.1343125         ,0.131015625       ,0.020875
   4    ,0.133375          ,0.13              ,0
   4.01 ,0.132453125       ,0.12896875        , 
   4.02 ,0.131546875       ,0.1279375         , 
   4.03 ,0.130625          ,0.12690625        , 
   4.04 ,0.12975           ,0.125875          , 
   4.05 ,0.128828125       ,0.12484375        , 
   4.06 ,0.1279375         ,0.1238125         , 
   4.07 ,0.12703125        ,0.12284375        , 
   4.08 ,0.126125          ,0.121828125       , 
   4.09 ,0.12525           ,0.1208125         , 
   4.1  ,0.1244375         ,0.1198125         , 
   4.11 ,0.12353125        ,0.1188125         , 
   4.12 ,0.1226875         ,0.1178125         , 
   4.13 ,0.12184375        ,0.1168125         , 
   4.14 ,0.12096875        ,0.1158125         , 
   4.15 ,0.12015625        ,0.11484375        , 
   4.16 ,0.119296875       ,0.113875          , 
   4.17 ,0.11846875        ,0.112875          , 
   4.18 ,0.117640625       ,0.111875          , 
   4.19 ,0.1168125         ,0.110890625       , 
   4.2  ,0.116             ,0.109921875       , 
   4.21 ,0.1151875         ,0.1089375         , 
   4.22 ,0.114390625       ,0.10796875        , 
   4.23 ,0.11359375        ,0.107             , 
   4.24 ,0.112796875       ,0.106             , 
   4.25 ,0.112             ,0.105046875       , 
   4.26 ,0.111234375       ,0.1040625         , 
   4.27 ,0.1104375         ,0.103125          , 
   4.28 ,0.109671875       ,0.102125          , 
   4.29 ,0.1089375         ,0.1011875         , 
   4.3  ,0.10815625        ,0.1001875         , 
   4.31 ,0.107390625       ,0.09921875        , 
   4.32 ,0.1066328125      ,0.098265625       , 
   4.33 ,0.1058828125      ,0.097296875       , 
   4.34 ,0.105140625       ,0.0963125         , 
   4.35 ,0.10440625        ,0.09534375        , 
   4.36 ,0.1036875         ,0.09440625        , 
   4.37 ,0.1029375         ,0.0934375         , 
   4.38 ,0.102203125       ,0.092453125       , 
   4.39 ,0.10146875        ,0.091484375       , 
   4.4  ,0.10075           ,0.090515625       , 
   4.41 ,0.100046875       ,0.089546875       , 
   4.42 ,0.099328125       ,0.08859375        , 
   4.43 ,0.098625          ,0.087625          , 
   4.44 ,0.0979296875      ,0.086625          , 
   4.45 ,0.097234375       ,0.08565625        , 
   4.46 ,0.09653125        ,0.0846875         , 
   4.47 ,0.09584375        ,0.08371875        , 
   4.48 ,0.09515625        ,0.08271875        , 
   4.49 ,0.09446875        ,0.08175           , 
   4.5  ,0.0938125         ,0.08075           , 
   4.51 ,0.093125          ,0.07978125        , 
   4.52 ,0.09246875        ,0.07875           , 
   4.53 ,0.0918125         ,0.07775           , 
   4.54 ,0.0911328125      ,0.0768125         , 
   4.55 ,0.090484375       ,0.07575           , 
   4.56 ,0.089828125       ,0.074765625       , 
   4.57 ,0.0891875         ,0.073765625       , 
   4.58 ,0.0885234375      ,0.07275           , 
   4.59 ,0.087890625       ,0.07175           , 
   4.6  ,0.08725           ,0.0706875         , 
   4.61 ,0.08659375        ,0.0696875         , 
   4.62 ,0.08596875        ,0.068625          , 
   4.63 ,0.085375          ,0.0675625         , 
   4.64 ,0.08475           ,0.06653125        , 
   4.65 ,0.08409375        ,0.065453125       , 
   4.66 ,0.083484375       ,0.064375          , 
   4.67 ,0.082875          ,0.0633125         , 
   4.68 ,0.08225           ,0.06225           , 
   4.69 ,0.081625          ,0.061125          , 
   4.7  ,0.081             ,0.06              , 
   4.71 ,0.080421875       ,0.05890625        , 
   4.72 ,0.0798125         ,0.05775           , 
   4.73 ,0.079234375       ,0.056625          , 
   4.74 ,0.078640625       ,0.05546875        , 
   4.75 ,0.078046875       ,0.05425           , 
   4.76 ,0.0774375         ,0.05309375        , 
   4.77 ,0.076859375       ,0.051875          , 
   4.78 ,0.0763125         ,0.050640625       , 
   4.79 ,0.0756875         ,0.049390625       , 
   4.8  ,0.075125          ,0.048125          , 
   4.81 ,0.07453125        ,0.0468125         , 
   4.82 ,0.0739765625      ,0.0455            , 
   4.83 ,0.07340625        ,0.04415625        , 
   4.84 ,0.072828125       ,0.04275           , 
   4.85 ,0.0722734375      ,0.0413125         , 
   4.86 ,0.071703125       ,0.039875          , 
   4.87 ,0.071140625       ,0.038375          , 
   4.88 ,0.07059375        ,0.0368125         , 
   4.89 ,0.07              ,0.0351875         , 
   4.9  ,0.069484375       ,0.0335            , 
   4.91 ,0.0689296875      ,0.03175           , 
   4.92 ,0.068375          ,0.029875          , 
   4.93 ,0.06784375        ,0.0279375         , 
   4.94 ,0.0673125         ,0.0258125         , 
   4.95 ,0.066734375       ,0.0235625         , 
   4.96 ,0.066203125       ,0.0210625         , 
   4.97 ,0.0656640625      ,0.01825           , 
   4.98 ,0.065125          ,0.014875          , 
   4.99 ,0.06459375        ,0.0105            , 
   5    ,0.0640625         ,0                 , 
   5.01 ,0.063515625       ,                  , 
   5.02 ,0.063             ,                  , 
   5.03 ,0.06246875        ,                  , 
   5.04 ,0.0619375         ,                  , 
   5.05 ,0.06140625        ,                  , 
   5.06 ,0.06090625        ,                  , 
   5.07 ,0.060375          ,                  , 
   5.08 ,0.05984375        ,                  , 
   5.09 ,0.05934375        ,                  , 
   5.1  ,0.0588125         ,                  , 
   5.11 ,0.0583125         ,                  , 
   5.12 ,0.0578125         ,                  , 
   5.13 ,0.0572734375      ,                  , 
   5.14 ,0.05675           ,                  , 
   5.15 ,0.05625           ,                  , 
   5.16 ,0.055734375       ,                  , 
   5.17 ,0.055234375       ,                  , 
   5.18 ,0.05471875        ,                  , 
   5.19 ,0.05421875        ,                  , 
   5.2  ,0.053703125       ,                  , 
   5.21 ,0.05321875        ,                  , 
   5.22 ,0.0526875         ,                  , 
   5.23 ,0.0521953125      ,                  , 
   5.24 ,0.051703125       ,                  , 
   5.25 ,0.051203125       ,                  , 
   5.26 ,0.0506875         ,                  , 
   5.27 ,0.0501875         ,                  , 
   5.28 ,0.049703125       ,                  , 
   5.29 ,0.049203125       ,                  , 
   5.3  ,0.0486953125      ,                  , 
   5.31 ,0.048203125       ,                  , 
   5.32 ,0.0476875         ,                  , 
   5.33 ,0.04721875        ,                  , 
   5.34 ,0.0467109375      ,                  , 
   5.35 ,0.046203125       ,                  , 
   5.36 ,0.04571875        ,                  , 
   5.37 ,0.04521875        ,                  , 
   5.38 ,0.0446875         ,                  , 
   5.39 ,0.04421875        ,                  , 
   5.4  ,0.04371875        ,                  , 
   5.41 ,0.04321875        ,                  , 
   5.42 ,0.042734375       ,                  , 
   5.43 ,0.0422265625      ,                  , 
   5.44 ,0.041734375       ,                  , 
   5.45 ,0.041234375       ,                  , 
   5.46 ,0.040734375       ,                  , 
   5.47 ,0.040234375       ,                  , 
   5.48 ,0.039734375       ,                  , 
   5.49 ,0.03921875        ,                  , 
   5.5  ,0.03871875        ,                  , 
   5.51 ,0.0381875         ,                  , 
   5.52 ,0.03771875        ,                  , 
   5.53 ,0.03721875        ,                  , 
   5.54 ,0.0366875         ,                  , 
   5.55 ,0.0361875         ,                  , 
   5.56 ,0.03565625        ,                  , 
   5.57 ,0.0351875         ,                  , 
   5.58 ,0.03465625        ,                  , 
   5.59 ,0.034125          ,                  , 
   5.6  ,0.033609375       ,                  , 
   5.61 ,0.03309375        ,                  , 
   5.62 ,0.032546875       ,                  , 
   5.63 ,0.03203125        ,                  , 
   5.64 ,0.031484375       ,                  , 
   5.65 ,0.030953125       ,                  , 
   5.66 ,0.0304140625      ,                  , 
   5.67 ,0.029875          ,                  , 
   5.68 ,0.02934375        ,                  , 
   5.69 ,0.02878125        ,                  , 
   5.7  ,0.02821875        ,                  , 
   5.71 ,0.02765625        ,                  , 
   5.72 ,0.027125          ,                  , 
   5.73 ,0.02653125        ,                  , 
   5.74 ,0.025953125       ,                  , 
   5.75 ,0.025359375       ,                  , 
   5.76 ,0.024765625       ,                  , 
   5.77 ,0.0241875         ,                  , 
   5.78 ,0.0235625         ,                  , 
   5.79 ,0.0229453125      ,                  , 
   5.8  ,0.022328125       ,                  , 
   5.81 ,0.0216875         ,                  , 
   5.82 ,0.02103125        ,                  , 
   5.83 ,0.020375          ,                  , 
   5.84 ,0.0196875         ,                  , 
   5.85 ,0.019015625       ,                  , 
   5.86 ,0.0183125         ,                  , 
   5.87 ,0.017578125       ,                  , 
   5.88 ,0.016828125       ,                  , 
   5.89 ,0.01603125        ,                  , 
   5.9  ,0.015234375       ,                  , 
   5.91 ,0.014375          ,                  , 
   5.92 ,0.01353125        ,                  , 
   5.93 ,0.01259375        ,                  , 
   5.94 ,0.011609375       ,                  , 
   5.95 ,0.0105625         ,                  , 
   5.96 ,0.00940625        ,                  , 
   5.97 ,0.008125          ,                  , 
   5.98 ,0.0065625         ,                  , 
   5.99 ,0.004625          ,                  , 
   6    ,0                 ,                  , 
